"Report Written:","Monday, September 17, 2018"
"Design Path:","C:\Users\ahall\Documents\projects\nixie-clock\nixie-clock\designspark-nixie\nixie-schematic_multiplex2.sch"
"Design Title:",
"Created:",
"Last Saved:","14/09/2018 23:08:24"
"Editing Time:","10723 min"
"Units:","thou (precision 2)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"REF1","1","+5V","","","","","","","Power"
"REF2","1","+5V","","","","","","","Power"
"REF6","1","+5V","","","","","","","Power"
"REF49","1","+5V","","","","","","","Power"
"REF20","1","+5V","","","","","","","Power"
"REF21","1","+5V","","","","","","","Power"
"REF9","1","+5V","","","","","","","Power"
"PL1","1","4WP","","DSC","","","","","4 way Pin Header"
"PL2","1","4WP","","DSC","","","","","4 way Pin Header"
"PL3","1","4WP","","DSC","","","","","4 way Pin Header"
"IC1","1","ATMEGA328-PU","","DIP1016W53P254L3468H457Q28N","Microchip","ATMEGA328-PU","","","8-bit Microcontrollers - MCU AVR 32K FLSH 1K EE2K SRAM-20MHz IND"
"C1","1","C1206C200J5GACTU","","CAPC3216X88N","Kemet","C1206C200J5GACTU","8702877","","Kemet 1206 C 20pF Ceramic Multilayer Capacitor, 50 V dc, +125C, C0G Dielectric, 5%"
"C2","1","C1206C200J5GACTU","","CAPC3216X88N","Kemet","C1206C200J5GACTU","8702877","","Kemet 1206 C 20pF Ceramic Multilayer Capacitor, 50 V dc, +125C, C0G Dielectric, 5%"
"R20","1","CRCW120610K2FKEA","","RESC3216X60N","Vishay","CRCW120610K2FKEA","","","RESISTOR, 1206 10.2K Ohms 1% 0.25W"
"J1","1","DX4R005HJ5R2000","","DX4R005HJ5","JAE Electronics","DX4R005HJ5R2000","","","USB Connectors microUSB 2.0 TYPE B STDMNT RCPT NO TAPER"
"R2","1","ERA-8AEB105V","","RESC3216X70N","Panasonic","ERA-8AEB105V","","","Thin Film Resistors - SMD 1206 1.0Mohm 0.1% 25ppm"
"R5","1","ERA-8AEB105V","","RESC3216X70N","Panasonic","ERA-8AEB105V","","","Thin Film Resistors - SMD 1206 1.0Mohm 0.1% 25ppm"
"R9","1","ERA-8AEB105V","","RESC3216X70N","Panasonic","ERA-8AEB105V","","","Thin Film Resistors - SMD 1206 1.0Mohm 0.1% 25ppm"
"R12","1","ERA-8AEB105V","","RESC3216X70N","Panasonic","ERA-8AEB105V","","","Thin Film Resistors - SMD 1206 1.0Mohm 0.1% 25ppm"
"R15","1","ERA-8AEB105V","","RESC3216X70N","Panasonic","ERA-8AEB105V","","","Thin Film Resistors - SMD 1206 1.0Mohm 0.1% 25ppm"
"R18","1","ERA-8AEB105V","","RESC3216X70N","Panasonic","ERA-8AEB105V","","","Thin Film Resistors - SMD 1206 1.0Mohm 0.1% 25ppm"
"R1","1","ERA-8AEB272V","","RESC3216X70N","Panasonic","ERA-8AEB272V","","","Thin Film Resistors - SMD 1206 2.7Kohm 0.1% 25ppm"
"R4","1","ERA-8AEB272V","","RESC3216X70N","Panasonic","ERA-8AEB272V","","","Thin Film Resistors - SMD 1206 2.7Kohm 0.1% 25ppm"
"R7","1","ERA-8AEB272V","","RESC3216X70N","Panasonic","ERA-8AEB272V","","","Thin Film Resistors - SMD 1206 2.7Kohm 0.1% 25ppm"
